Dewey,Author,Title,Subtitle,ISBN,Width
001,"Alberto Cairo","How Charts Lie","Getting Smarter about Visual Information",9780393358421,20
001,"Harry Collins","Tacit and Explicit Knowledge",,9780226004211,150
001.42,"Martin W. Bauer | George Gaskell","Qualitative researching with text, image and sound","A practical handbook",9780761964810,171
001.42,"Wayne C. Booth | Gregory G. Colomb | Joseph M. Williams","The Craft Of Research, Third Edition",,9780226065663,137
003,"Nassim Nicholas Taleb","Statistical Consequences of Fat Tails","Real World Preasymptotics, Epistemology, and Applications",9781544508054,25
003.54,"Nassim Nicholas Taleb","The Black Swan: the impact of the highly improbable",,9780812973815,131
004.62,"W. Richard Stevens","TCP/IP illustrated","The Protocols (Addison-Wesley Professional Computing Series)",9780201633467,193
004.6780112,"Jonathan L. Zittrain","The future of the internet--and how to stop it",,9780300151244,156
005,"Stephen Marsland","Introduction to Machine Learning","an algorithmic perspective",9781420067187,155
005.1,"Chaminda Chandrasekara | Pushpa Herath","Hands-on GitHub Actions: Implement CI/CD with GitHub Action Workflows for Your Applications",,9781484264638,0
005.1,"Robert C. Martin","Clean Code","A Handbook of Agile Software Craftsmanship (Robert C. Martin Series)",9780132350884,175
005.1170,"Erich Gamma | Richard Helm | Ralph Johnson | John M. Vlissides | Grady Booch","Design Patterns","Elements of Reusable Object-Oriented Software (Addison-Wesley Professional Computing Series)",9780201633610,188
005.1300,"Thomas H. Cormen | Charles E. Leiserson | Ronald L. Rivest | Clifford Stein","Introduction to Algorithms",,9788120321410,0
005.133,"David Beazley | Brian Jones","Python Cookbook, Third Edition","Recipes for Mastering Python 3",9781449340377,178
005.133,"Mark Lutz","Learning Python","Powerful Object-Oriented Programming",9781449355739,183
005.133,"Harry Percival","Architecture Patterns With Python: Enabling Test-driven Development, Domain-driven Design, And Event-driven Microservices","enabling test-driven development, domain-driven design, and event-driven microservices",9781492052203,13
005.133,"Luciano Ramalho","Fluent Python","Clear, Concise, and Effective Programming",9781491946008,178
005.133,"Al Sweigart","Automate The Boring Stuff With Python","Practical Programming For Total Beginners",9781593279929,178
005.133,"Gennadiy Zlobin","Learning Python Design Patterns",,9789351104117,0
005.3,"Yu-Kai Chou","Actionable Gamification","Beyond Points, Badges and Leaderboards",9781511744041,0
005.7300,"Christof Paar | Jan Pelzl","Understanding Cryptography","A textbook for students and practitioners",9783642041006,166
005.7422,"Charu C. Aggarwal | Philip S. Yu","Privacy-Preserving Data Mining",,9781441943712,0
005.758,"Andreas M. Antonopoulos","Mastering Ethereum: Building Smart Contracts And Dapps","building smart contracts and DApps",9781491971949,0
005.8,"Ross Anderson","SECURITY ENGINEERING, 2ND ED",,9788126516674,0
005.8,"Balaji Raghunathan","The complete book of data anonymization","from planning to implementation",9781439877302,0
005.8,"Justin Seitz","Black Hat Python, 2nd Edition","Python Programming for Hackers and Pentesters",9781718501126,1
006,"William R. Sherman | Alan B. Craig","Understanding Virtual Reality",,9788131216965,0
006.3,"Stuart Jonathan Russell | Peter Norvig","Artificial Intelligence: A Modern Approach",,9788129700414,0
006.3/1,"Ian Goodfellow | Yoshua Bengio | Aaron Courville","Deep Learning",,9780262035613,185
006.31,"Andriy Burkov","The Hundred-page Machine Learning Book",,9781999579500,0
006.31,"Valliappa Lakshmanan","Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps","solutions to common challenges in data preparation, model building, and MLOps",9781098115784,21
006.76,"Toby Segaran","Programming Collective Intelligence","Building Smart Web 2.0 Applications",9780596529321,174
016.912/5493,,"An inventory of Sri Lanka maps in the General State Archives in the Netherlands",,,0
031.0222,"David McCandless","Beautiful news",,9780007448371,22
